model,layers,sample,runtime_s,qubits,damping,threads,seed
native,1,0,0.004838716238737106,16,0.005,64,0
native,1,1,0.004444042220711708,16,0.005,64,0
native,1,2,0.004396047443151474,16,0.005,64,0
native,1,3,0.0043618157505989075,16,0.005,64,0
native,1,4,0.004430016502737999,16,0.005,64,0
native,1,5,0.004300389438867569,16,0.005,64,0
native,1,6,0.00460919551551342,16,0.005,64,0
C plugin,1,0,0.0043714940547943115,16,0.005,64,0
C plugin,1,1,0.00471506267786026,16,0.005,64,0
C plugin,1,2,0.004639560356736183,16,0.005,64,0
C plugin,1,3,0.004637805745005608,16,0.005,64,0
C plugin,1,4,0.00422973558306694,16,0.005,64,0
C plugin,1,5,0.003953773528337479,16,0.005,64,0
C plugin,1,6,0.004209807142615318,16,0.005,64,0
Rust plugin,1,0,0.004408014938235283,16,0.005,64,0
Rust plugin,1,1,0.004420656710863113,16,0.005,64,0
Rust plugin,1,2,0.0043594930320978165,16,0.005,64,0
Rust plugin,1,3,0.0045943353325128555,16,0.005,64,0
Rust plugin,1,4,0.004501739516854286,16,0.005,64,0
Rust plugin,1,5,0.004279430955648422,16,0.005,64,0
Rust plugin,1,6,0.0045141540467739105,16,0.005,64,0
AOT Julia plugin,1,0,0.004569888114929199,16,0.005,64,0
AOT Julia plugin,1,1,0.0044299643486738205,16,0.005,64,0
AOT Julia plugin,1,2,0.004566004499793053,16,0.005,64,0
AOT Julia plugin,1,3,0.004666462540626526,16,0.005,64,0
AOT Julia plugin,1,4,0.004780218005180359,16,0.005,64,0
AOT Julia plugin,1,5,0.004455221816897392,16,0.005,64,0
AOT Julia plugin,1,6,0.004202676936984062,16,0.005,64,0
native,2,0,0.007625214755535126,16,0.005,64,0
native,2,1,0.007593592628836632,16,0.005,64,0
native,2,2,0.007658317685127258,16,0.005,64,0
native,2,3,0.007867364212870598,16,0.005,64,0
native,2,4,0.0078100841492414474,16,0.005,64,0
native,2,5,0.00797252170741558,16,0.005,64,0
native,2,6,0.007721776142716408,16,0.005,64,0
C plugin,2,0,0.007754260674118996,16,0.005,64,0
C plugin,2,1,0.007529294118285179,16,0.005,64,0
C plugin,2,2,0.0074174050241708755,16,0.005,64,0
C plugin,2,3,0.007596902549266815,16,0.005,64,0
C plugin,2,4,0.00737994909286499,16,0.005,64,0
C plugin,2,5,0.00755951926112175,16,0.005,64,0
C plugin,2,6,0.007472135126590729,16,0.005,64,0
Rust plugin,2,0,0.00743727944791317,16,0.005,64,0
Rust plugin,2,1,0.00750848650932312,16,0.005,64,0
Rust plugin,2,2,0.007724722847342491,16,0.005,64,0
Rust plugin,2,3,0.00799698755145073,16,0.005,64,0
Rust plugin,2,4,0.0077264755964279175,16,0.005,64,0
Rust plugin,2,5,0.00734306126832962,16,0.005,64,0
Rust plugin,2,6,0.008191926404833794,16,0.005,64,0
AOT Julia plugin,2,0,0.008380621671676636,16,0.005,64,0
AOT Julia plugin,2,1,0.007954977452754974,16,0.005,64,0
AOT Julia plugin,2,2,0.007767664268612862,16,0.005,64,0
AOT Julia plugin,2,3,0.00809459201991558,16,0.005,64,0
AOT Julia plugin,2,4,0.007848083972930908,16,0.005,64,0
AOT Julia plugin,2,5,0.007855819538235664,16,0.005,64,0
AOT Julia plugin,2,6,0.0076901670545339584,16,0.005,64,0
native,3,0,0.012953348457813263,16,0.005,64,0
native,3,1,0.01345418393611908,16,0.005,64,0
native,3,2,0.012872742488980293,16,0.005,64,0
native,3,3,0.01303916797041893,16,0.005,64,0
native,3,4,0.01371527835726738,16,0.005,64,0
native,3,5,0.013229399919509888,16,0.005,64,0
native,3,6,0.013024784624576569,16,0.005,64,0
C plugin,3,0,0.012403657659888268,16,0.005,64,0
C plugin,3,1,0.013103973120450974,16,0.005,64,0
C plugin,3,2,0.012561796233057976,16,0.005,64,0
C plugin,3,3,0.014935452491044998,16,0.005,64,0
C plugin,3,4,0.01180480606853962,16,0.005,64,0
C plugin,3,5,0.012605942785739899,16,0.005,64,0
C plugin,3,6,0.013087362051010132,16,0.005,64,0
Rust plugin,3,0,0.01426604948937893,16,0.005,64,0
Rust plugin,3,1,0.012135572731494904,16,0.005,64,0
